subID,subName
HÍT401G,Nutrition and health
HGF402G,Classification and clinical coding in health information mangement
ÍÞH031G,Winter mountaineering
ÍÞH040G,Volleyball
ÍÞH055G,"Sport injuries, prevention and rehabilitation"
STJ317G,European Integration
ÍÞH056G,Events and Project Management in Sports
MBA120F,Effective Knowledge Dissemination
ÍÞH215G,Gymnastics for children and adolecents
ÍÞH412G,Team Handball and Basketball
LYF514G,Pharmaceutics
FAR301L,MS Thesis in Epidemiology
ÍÞH414G,Pedagogy in physical education in elementary school
ÍÞH610G,Sport in Society
LÝÐ007F,DrPH Seminars
ÍÞH609G,Pedagogy in physical education in High-school
TÓS008G,Empowering language and literacy through play and informal learning
TÓS202G,Leisure and children
TÓS009G,Gender Based Violence: societal manifestations and preventive methods
TÓS409G,Games and activities in shools and leisure
LYF310F,Herbal Remedies/Natural Products
LÆK220G,Anatomy IA - Embryology
HJÚ224G,Immunology and Pathology
LÆK106F,"General research methods, course for M.Sc. and Ph.D. students - Part 1"
LÆK223G,Cell physilogy
HHE401L,Final project
SÁL146F,Health and society
VIÐ102G,Mathematics A
VIÐ302G,Business Law A
HJÚ127G,Nursing Science and the various fields of nursing
IÐN611M,Action Plan Design
MBA232F,Artificial Intelligence and Leadership
LÆK221G,Anatomy IIA
VIÐ258G,Introduction to Management
KYN304G,Gender Studies in a Flux: Current Issues in Theorising Gender
ÍÞH311F,Challenges and innovations in physical education
ÍÞH441L,Final project
TÓS102F,Leisure and leadership
ÍÞH442L,Final project
VIÐ406G,Communication and Human Interaction
TÓS441L,Final project
VIÐ311G,Business Statistics B
HHE401F,Practicum II
VIÐ101G,Introduction to Marketing
GFR324M,Spiritual care
BYG201M,Steel Structures 1
VIÐ415G,Management and Organisational Design
ÍÞH411F,Practicum II
HAG261L,BS Thesis
VIÐ304F,Fair Value Accounting
AMF010F,The acquisition of grammar in second language
POL103G,Practical Language II
ÍSE503G,Syntax I
ÍSL205G,Icelandic Literary History
HHE404M,Health and welfare - health promoting communities
HHE201M,Skills training for health promotion (practicum)
HJÚ410G,Surgery
HAG203G,Mathematics for economists II
LYF323F,Basic training in clinical pharmacy II
LTF001L,PhD Thesis in biostatistics
KYN202F,Gender Studies for Practical Purposes
KME118F,Child protection - Children's rights and interests
TÓS406G,Training II
TÓS101G,Introduction to Leisure Studies
TÓS211G,Leisure and teenagers
TÓS402G,Field based project I
SAG606M,"Paint like a man, woman! Women, gender, and Icelandic art history"
ÍÞH026G,Rock climbing
LTF301F,MS Thesis in Biostatistics
ÍÞH211F,Epidemiology of Physical Activity
VIÐ506M,Asian Business Studies (Japan and China)
MON603M,Sensory evaluation
ÍÞH032G,Winter sports activities
ÍÞH416G,Theory of training
ÍÞH413G,Practicum in physical education in elementary school
STÆ421M,Generalized Linear Models
ÍÞH608G,Practicum in physical education in High-school
ÍÞH113G,Athletics for children and adolescents
TÓS104G,Effective Communication
MAN502G,Writing a BA dissertation
ÍÞH320G,Soccer and Volleyball
ÍÞH036M,Health behaviour and food choice
ÍÞH213G,Applied pedagogy
LSS303F,Theory and Practice I
SNU011G,ICT  and media: Field Practice II
ÞJÓ203F,Old Nordic Religion and Belief
HÍT101F,"Health promotion, sport and leisure – Science and practice"
ÍÞH310F,Practicum I
FRA434G,French fairy tales: from Marie de France to the Enlightenment
TÓS407G,Final Project – Vocational diploma program
MAT612M,Ecological innovation in Food Science
HGF203G,Quality management and knowledge management
HGF403G,Information security and personal data regulations in Health Information Management
HHE302G,Flexitarian diet - healthy food for humans and earth health
LYF201G,Physiology
TÓS005M,Group work as a professional tool in youth work
FRA004G,Self-Directed Study in French II
VIÐ503G,Financial Instruments
HHE601G,Field studies in health promotion and home economics II - Food culture and environment
JAP203G,Written Japanese Language II
VIÐ511G,Marketing Research
HHE501M,Dietetic food and food for special occasions
VIÐ513G,Introduction to Brand Management
ÞJÓ563L,BA thesis in folkloristics
TSM405G,Introduction to research methodology
SNU206F,"): Instructional Design, Digital Media and Emancipatory Pedagogy"
VIÐ509G,Introduction to Human Resource Management
VIÐ303G,Introduction to International Business
TSM302G,Removable Partial Dentures
TÓS601G,Leisure studies and Leadership
LSS306G,Toddlers in preschool
JAR514M,Volcanology
ÍTA004G,Self-Directed Study in Italian II
ÍET401L,Final project
KLM101G,Latin I: Beginner's Course
LÆK224G,Anatomy IIB
ÍET601L,Final project
SNU008F,Distance Education
ÍÞH051F,Welfare of Elderly People
HAG208G,Financial Economics II
STM109F,Educational management and leadership
SNU207G,Mathematics in Compulsory School
STJ302F,Masters theses: Research plans and design
VIÐ502G,UII – Business Intelligence and Data Processing
VIÐ431L,MS Thesis
SPÆ003G,Self-Directed Study in Spanish I (online)
OSS202F,Public Management
FMF431L,MS Thesis
LYF618G,BS project
LSK006G,Toddlers in preschool
RES442L,MS Thesis
KLM102G,Ancient Greek I: Beginner's Course
SPÆ004G,Self-Directed Study in Spanish II
NSV101L,MS Thesis
NAF002F,Instructional design and learning processes with adult learners
LVG601L,Final project
LVG602L,Capstone project in the pedagogy of vocational education and training
OSS207F,Term Paper in Public Administration
LÆK092F,Biology of Cancer
LÆK0AMF,"General research methods, course for M.Sc. and Ph.D. students - Part 3"
HAG407G,Topics in Macroeconomics
OSS201F,Strategic Planning for Public Organizations
ASK102F,Theories of International Relations
SFG106F,Sociology and philosophy of education
GSL413G,Sectional anatomy
SNU207F,"Education, innovation and employment"
GSL612G,Clinical radiography 5
ASK105F,Iceland in the International System
RÚS408G,Russian IV
ASK106F,Assignment in International Affairs
ENS817M,Creative Writing Course
LYF110G,Laboratory safety
HAG408G,Methods in economics
SJÚ002F,Review Essay
KME004F,Collaboration between pre- and primary school.
STJ105G,Work Methods in Political Science
SNU102G,Algebra and Geometry
SAG319G,Biography as a method
SJÚ203F,Clinical Education II
STJ501G,Public Policy
SJÚ205F,Motor Control
SJÚ206F,Motion Analysis - biomechanics
HJÚ830G,Nursing and Cultural Diversity
LEF501M,Biochemistry 3
SJÚ211F,Writing an article for Physical Therapists MS
HAG433L,MS Thesis in Financial Economics
LEF509M,Applied Biochemistry
SJÚ401L,Final Project
SJÚ409G,Movement Sciences II: Motor Control and Movement Analysis
SPÆ501M,Colonial Literature
KEN203G,"Curriculum of vocational subjects, materials and assessment"
SJÚ613G,Practical Study - Group Exercise
LYF501F,Seminar in Pharmacy
SJÚ617G,Management of practice environments
JAR045G,Tutor classes in Earth Science
ABF902F,Academic Studies and Research
JAR257F,"Climate change: past, present and future"
SJÚ105G,Introduction to physical therapy
SPÆ101M,Spanish Film Studies
SJÚ106F,Adaptive equipment
HAG508G,International Economics
NÆR502G,Nutrition-physiology
SNU008M,Learning and teaching on the Internet
DAN305G,Movies and Identity
ÍSL110G,Introduction to Linguistics
BLF002G,Practical Project
BLF001G,Practical Project
LEF617M,Enzyme Chemistry
MAT505M,Advanced Food Chemistry
JAP303G,Written Japanese Language III
ÞRS101F,Human rights and human diversity
LEI441L,Final project
VIÐ561L,Ph.D. Thesis
TÖL309G,Computer organization and programming
VIÐ626G,Financial statement analysis
LEI107G,Cell biology
LEI108G,Physiology 1
BLF201M,Radio programming and broadcasting
LÆK105F,Clinical Biochemistry
LEI501G,Histopathology - analysis
OSS223F,Leadership in Public Organizations
LEI203G,Biochemistry
LEI504G,Blood banking and Transfusion Medicine
SNU206G,Technology and innovation in the classroom of new times
LÝÐ401F,MPH Seminar
TÖL606M,Seminar in computer science
VIÐ512G,Business and Intercultural Communication
LEI403G,Clinical physiology
VIÐ293F,"Automation, finance tech. and auditing"
VIÐ601G,Business Law B - Introduction to Financial Law
LEI601G,Microbiology - methodology
GSL005G,Clinical Radiography
LEI206F,Seminar in Biomedical Science and Radiography
LEI106F,Practical Bioinformatics
GSL102G,Introduction to medical imaging and analysis
KÍN102G,History of China I: From Mythological Origins to Late Ming
KÍN202G,Chinese II
MAT609M,Food innovation
KYN006F,Internship in Equal Opportunities Work
GSL313G,CPR
DAN001G,Self-Directed Study in Danish II
ÍÞH210G,Exercise Physiology
STJ447G,"Forced migration: Causes, reactions and consequences"
KEN104F,Introduction to Teaching
MAN0A3F,Global health
HAG262L,BA Thesis
ÍET402G,Teaching English to young learners
KLM202G,Ancient Greek II
RÚT603F,Publishing and Editing: From Manuscript to Book
LYF516G,Clinical Pharmacokinetics
ÍET501G,Daily language and expression in Danish
KEN101G,Teaching vocational subjects
SNU007F,Information & Communication Technology (ICT) in Education and School Development
ÍET102F,Teaching Icelandic as a second language
AMF009F,Teaching Icelandic as a Second Language: Vocabulary in Speech and Writing
MEX020G,Icelandic Nature and Cultural Legacy
KEN213F,Curriculum and School Development in Secondary Schools
KÍN309G,Chinese Texts II
TÖL401G,Operating Systems
LYF517G,Pharmaceutics
LAN221G,Environmental Geography
LÆK301F,Obstetrics and Gynaecology
LÆK401F,Obstetrics and Gynaecology
MAT063F,Forum for post graduate students in food science - first half
MAT441L,MS-Research project
SÆN109G,Sweden in Music - from Gubben Noak to ABBA
MAT506M,Advanced Food Microbiology
MAT561L,Ph.D.-Thesis
MBA118F,Data Driven Decision Making
HHE602G,Food culture health
MAT617M,Internship in food science
ABF124G,Dummy Course for Inspera – ghv[hjá]hi.is
HJÚ415G,Nursing Research
KÍN302G,Chinese III
KÍN304G,Chinese Language Usage III
KÍN403G,Chinese IV
FRG510G,"Sustainability, Environmental Protection and Social Work"
ÍÞH212F,High Performance Sports
MON002M,"Of Microbes and Men: Microbes, Culture, Health, and Environment"
TSM201G,Introduction to Dental Technology
ÍSL517M,Literature and magic
LAN441L,Final project
MBA204F,Corporate Finance
SNU012G,Teaching about electricity and magnetism
MBA227F,The Art of Leadership (IESE)
MON204G,General Cell Biology
JAP101G,Japanese Language I
MON203G,Advanced Food Microbiology 1
ENS468G,Satire and Society in Frances Burney’s novels
EÐL624M,Introduction to Nanotechnology
OSS105F,Term Paper in Public Administration
HJÚ418G,Internal Medicine
SNU503M,Various approaches to teaching mathematics in upper secondary schools
LÆK024M,Immunology
SFG005G,Social Studies Teaching and Creative Learning
SNU004G,The interaction of organism and environment
MON302G,"Vitamins, minerals and other components of food"
OSS205F,Term Paper in Public Administration
ILT102F,Introduction to Applied Biotechnology
MON304G,Foodsystems and food security
MON305G,Science communication
JAP103G,Japanese Pronunciation and Listening Comprehension I
MBA228F,Operations Management
MON604M,Club
LÆK601L,Research Project
ÍET302F,Language Aquisition in Danish 1
IÐN113F,Time Series Analysis
MBA302F,Strategy
HJÚ225G,Fundamentals of Nursing I
MBA222F,Communicating information
KLM209G,Supervised Independent Study in Greek
VIÐ121F,Corporate law and Bankruptcy Proceedings and Administration
KÍN207G,Chinese Texts I
UMD080F,Seminar in philosophy of education: Radical hope I
FOR812F,Medieval Archaeology
SNU101G,Mathematics I
SNU204G,Mathematics II
ENS506G,From Gothic Beginnings to Twentieth Century Fantasy and Romance: The British Historical Novel From 1764 to 1950
STJ312M,Term Paper in Small States Studies
BYG057G,Workshop for 1st year students
SFG101G,Introduction to the teaching of social sciences
VIÐ160F,Auditing and its environment
LVG206G,Pedagogy of design and crafts
RAF050G,Tutor classes in Electrical and Computer Engineering
VÉL218F,Direct Geothermal Utilization
LVG105G,"Arts I: Drama, fine art, music"
SNU103G,Teaching and learning science in the local environment
SNU205G,Teaching and learning science in school settings
SNU104G,Information technology in teaching and learning
LVG406G,Drama teacher
SNU401F,Mathematics Education
NÆR091F,Seminar - graduate students II
ÍET104F,The Teaching of the Icelandic Language and teaching practice 1
LVG104F,The Teaching of Art and Design and teaching practice 1
HAG122M,Mathematics for Finance II
SFG105F,Pedagogy for Social Studies and practical training 1
ÍET105F,Foreign language teaching and practical training 1
ÍET210F,The teaching of the Icelandic language and teaching practice 2
LVG203F,The teaching of art and design and teaching practice 2
HJÚ318G,Fundimentals of Nursing II
SFG206F,Pedagogy for social studies and practical training 2
ÍET211F,Foreign language teaching and practical training 2
SPÆ305G,Spanish Literature of the 19th and 20th Century
TSM203G,Orthodontics I
KVI321G,War Movies
JAP202G,Japanese Language II
SFG601L,Final project
SNU601L,Final project
MBA102F,Business Environment
LVG401L,Final project
SFG401L,Final project
SNU401L,Final project
KÍN107G,Chinese I
ASK054F,Internship:  United Nations Association in Iceland
SNU402M,Applied mathematics in teaching and learning
STJ353G,Research Methods in Political Science
GSL307G,Vascular ultrasound
VIÐ271F,International Marketing
GSL206G,Radiation Physics 2
STJ352G,Assignment in Inferential statistics
GSL208G,Clinical Radiography 1
INT441L,Final project
SNU203M,Computational thinking
MMB101G,Study skills in higher education
MEN449L,Final project
MMB301G,Research methods I
KYN007F,Applied Gender Studies for International Students
NAF003F,Adult Learners and human resource development
KME102F,Teaching and Learning in Compulsory Schools
RÚS309G,Russian Practical Language III
LVG012G,Textiledesign
JAP204G,Japanese Pronunciation and Listening Comprehension II
LSS101F,Play and preschool teachers role
GSL108F,IT systems RIS/PACS
UME103F,Diversity and social justice
GSL441L,Final project
LSS501G,Transition from preschool to primary school
GSL206F,Final paper in diploma studies on masters level in radiography
MFK441L,Master's thesis
UME602L,Final project
UME401L,Final project
SNU307G,Number Theory
TAL103F,Adult language disorders I
TAL110F,Professional and scientific practices - Clinical observation
STJ604G,"Take control of your career: education, employment and career development for political scientists"
ÞRS119G,History and disability
LVG108M,Dramafusion –communication in drama
ÞRS301F,"Professional development, ideology and self-reflection I"
ÞRS441L,Final project
STJ358G,Political parties and voters in modern democracies
HBV401G,Software Development
INT203G,Globalisation and education
HJÚ617G,Clinical Mental Health Nursing
JAR242F,Presentation skills in earth sciences
MVS210F,Ethics and Society
HAG014F,Projects in finance
MVS212F,Introduction to qualitative research
TAL219F,Dysphagia
MFK442L,Master's thesis
MFK443L,Master's thesis
SPÆ105G,Spanish Grammar I
ENS344M,Vocabulary Acquisition: Research and Theory
JAP107G,Japanese Cinema
EVF301G,Applied Chemical Thermodynamics
UME402G,Research methods II: Quantitative approach
JAP302G,Japanese Language III
TSM304G,Science of Dental Materials  I
ÞÝS023G,Summer Course in Germany
TAL216F,Clinical practicum 2
UME203M,Children‘s rights and contemporary challenges
HGF404G,Writing skills
HAG104M,Applied Econometrics
JAP403G,Japanese Language IV
HAG106G,Financial Economics I
ÞRS261L,Final project
ÞRS402F,"Professional development, ideology and self reflection II"
TAL101F,Neuroscience
JAP304G,Japanese Pronunciation and Listening Comprehension III
INT261L,Final project
TAL220F,Voice and voice disorders
SJÚ506G,Ergonomy
VIÐ174M,Microeconomics of Competitiveness
UME101G,Introduction to Education
UME202G,Families in Contemporary Society
TSM401G,Removable Prosthodontics II
VIÐ528G,Business Plans
ÍSB825F,Rímur and Medieval Saga Literature
UME002F,"Democracy, human rights and young people's citizenship"
TSM402G,Fixed Dental Prosthesis III
UME303G,Sociology of childhood and education
JAP106G,Japanese Society and Culture II
ÞRS312G,Ethics and professionalism
ÞRS402G,Person-centred services
ÞRS412G,Working with families
MVS101F,Theories in Sociology and Philosophy of Education
MVS009F,Learning theories: Application and research
LAN102G,Cartography and map design
MAF101G,History of the Middle East I
ÞRS104F,Inclusive Research methods
SPÆ267G,Conversation II
INT201G,Sociology and history of education: Iceland in the community of nations
HJÚ620G,Nursing care of patients with chronic diseases: Clinical practicum
INT001M,Comparative and international education
SPÆ401M,Translation (Spanish)
LEI308G,Clinical biochemistry - practical methodology
TSM403G,Orthodontics II
JAP405G,Japanese Pronunciation and Listening Comprehension IV
ÍSL111G,Theory of Literature
NÆR0AHF,Internship in Nutrition I
FFU102M,The competent parent? Discourses on parenting
TSM404G,Science of Dental Materials  II
MAF102G,Arabic I
ÞRS205F,Practicum: Connecting theory and profession
ÞRS206F,Effective support and application of assessment instruments
TAL204F,Introduction to audiology
ÞRS103F,Social educators in the educational system
TAL213F,Augmentative and alternative communication
MAF204G,Arabic II
SNU004M,Research and development in science education
LVG020G,"Art, nature and society"
VIÐ185F,Marketing concept and market orientation
FFU401L,Final project
FFR110F,Independent study in disability studies
DAN304G,Danish Pronunciation and Phonetics
DAN110G,Contemporary Danish Literature
VIÐ402G,Finance II
LÖG605G,Civil and Criminal Procedure II
TAL218F,Motor Speech Disorders
DAN208G,"Danish: Communication, History and Society"
LJÓ307F,Clinical training III – professional specialisation
FRA438G,Spoken Language Skills Course in France
DAN601G,Danish Grammar III: Danish Language Research
HJÚ419G,Fundamentals of Nursing III
LEI407G,Hematology - pathology
LEI408G,Hematology - methodology
SPÆ307G,Introduction to Literature
LEI603G,Molecular biology
LEI208F,Final paper in diploma studies on masters level in biomedical science
LEI206G,Physiology 2
LEI002F,Seminar in Biomedical Science and Radiography
LÝÐ202F,"The Scientific Process: Ethics, Communication and Practicalities"
ÞÝS004G,Self-Directed Study in German II
FFR205F,Independent study in disability studies
LEI101G,"Biomedical laboratory science, introduction"
NÆR0AIF,Internship in Nutrition II
LEI303G,Immunology
LEI502G,Histopathology - mecanisms of disease
LEI105F,Management in biomedical science
UME404G,Adolescence: Challenges and Opportunities
SAG041G,"The Cold War in Reykjavík: Foreign Embassies, Chess, Civil Defense and Summit Diplomacy"
ÞÝS103G,German Language I
GSL103G,Radiation Physics 1
GSL104G,Physics
GSL107F,Scientific Research methods
GSL310G,Radiographic Equipment
LVG102F,Art and Design History
SNU203G,Physiology
GSL311G,Ethics
FRG128F,Children and wellbeing: Children’s rights and participation
GSL401G,MRI Magnetic Resonance Imaging 1
TÓS509M,"Bullying prevention, best practices and interventions"
GFR053G,Church Music and worship 1
GSL510G,Scientific Research methods
TÖV201G,Digital Circuit Design and Analysis
NÆR441L,MS-Research project
ENS132F,"Research Project – Gothic, Realist, Fantastic, Romantic: British Historical Novels from 1764 til 1950"
MIS204F,Icelandic Medieval Manuscripts
MIS604F,Master’s thesis workshop
KME102G,Introduction to Learning and Instruction
GSL505G,Magnetic Resonance Imagin 2
TSM502G,Professionalism and health care
FRA104G,Pronunciation
KME104F,Language development
TSM603G,Practical training in dental technology
TÁK204G,Cultural Spheres
LVG018G,Teaching Art in elementary schools I
SÁL418G,Psychometrics/Measurement theory
LVG207G,"Arts II: Drama, fine art, music"
ATF102F,Applied Behavior Analysis for educators
ATF301F,Practicum in Applied Behavior Analysis 4
TSM604G,PBL practical studies
ATF401L,Master´s project in Applied Behavior Analysis
FRA111G,Special Pronunciation Project
KME115F,Working in inclusive practices
KME116F,Multilingualism and literacy
ENS346G,British Literature from Early Middle Ages to 1603
ATF202F,Practicum in Applied Behavior Analysis 2
ENS231F,Theory and Writing
ATF401F,Practicum in Applied Behavior Analysis 5
DAN112G,Danish Culture and Communication
KME301G,Psychology of Development and Learning
ÍTA119G,Italian Grammar I
TSM607G,Project introduction
SAG103M,Public archiving and records management
ÍTA249G,Italian Grammar II
LSK008G,Creativity in preschools
SAG104F,Practical project in archival studies
ÍTA120G,Language Usage and Oral Expression I
LSS102F,"Leadership, communication and collaboration"
HJÚ627G,clinical public - and community health nursing
SAG279G,The Modern State from Military Revolution to Neoliberalism
HJÚ629G,Nursing Research
VIÐ181F,Corporate Financing
LÆK516F,Practical clinical training
SAG269G,"Power Politics, Ideological Struggles, and Resistance in the 20th Century: Global History IV"
LÆK517F,"Clinical Method: The doctor, his patient and the illness IV and V"
DAN210G,Effective Learning of Danish
LSS606L,Final project
ÍTA328G,Language Usage and Oral Expression III
LVG203G,Introduction to Design and Craft
LJÓ211F,Research in midwifery
LIS102G,Icelandic Visual Art 1870-1970
LIS201G,Icelandic Contemporary Art
LIS243G,International Modern Art History from 1850 to 1960
LIS248G,International fine arts from 1960
TAN208G,General Pathology
MFR504M,Research seminar A: Common knowledge: Epistemic infrastructures and social power
FRA431G,Use of the language
NÆR561L,Ph.D.-Thesis
VIÐ179F,"Assets, behavior and risk"
GKY601L,B.Ed. thesis
NSR023F,Career Developement Theories
MFR503F,Research seminar B: Bohemianism
ÍÞH321G,Functional anatomy
MFR603F,"Research seminar D: Landscapes, soundscapes, and cinematics: Icelandic imageology in popular music, cinema and TV 1975-2025"
TÓS101F,Experiential Learning and Life Skills
LIS427G,Introduction to Exhibition Making
MAT616M,Food Safety Management
ABF334G,Nordic Literature of Modern Times
KLM201G,Latin II:  A Selection of Latin Texts
MON205G,Food- and nutritional chemistry
LEI309G,Clinical chemistry - pathology
LAN117F,Research in Geography and Tourism 1
UME001M,Interactive and empowering education I
ENS202G,"How Language works II: Word, Sentence, Discourse"
SJÚ311G,Health Promotion I
HJÚ633G,Nursing care of surgical patients
LIS609M,Landscape as temporal space
HJÚ818L,Thesis
LEI208G,Genetics I
LVG407G,"Drama teacher, implementation and theory"
LVG013G,The pedagogy of craft (textile) and Field Practice
LSS410G,Creative thinking and philosophical discussion
UME007M,Interactive and empowering education II
FRA439G,History of the French Language
VIÐ189F,Strategic Marketing
LVG001G,Creativity and innovation in textiles
LAN219F,Research in Geography and Tourism 2
MAL401L,Final project
LAN301F,Research in Geography and Tourism 3
LVG106M,Creative textile recycling
UME009M,Youth culture and youth transition
STM441L,Final project
HJÚ823G,Elective course in clinical nursing
SÁL320G,Personality Psychology
HAG311G,Survey of the Icelandic Economy
SÁL504G,Clinical Psychology
FRG508G,Introduction to Qualitative Research Methods
OSS011F,Term Paper in Public Administration
GKY401L,Final project
VIÐ194F,Human Resource Management
STM446L,M.Ed. Final Project
GFR305F,Worship and liturgical music 1
SKF441L,Final project
HAG434L,MA Thesis in Applied Economics
HAG512G,Business Valuation
HJÚ825G,Sexual and reproductive health
ÍTA115G,Italian Art History
ÍTA324G,"Society, Culture and History"
NSR203F,Personal and Social Problems
MAT704F,Aquatic Food Primary Production: Fishery and aquaculture
KLM113G,Supervised Independent Study in Classical Languages
LAN416F,Research in Geography and Tourism 4
HJÚ828G,"Women, health and society"
HAG561L,Ph.D. Thesis in Economics
SNU003G,Creative play and technology
TÖL607M,Fundamentals of Ethical Hacking
LÆK125G,Anatomy for Health Information Managers
HAG015F,The economics of decision making
HAG310G,Macroeconomics III
LÖG179F,Legal Philosophy (Philosophy of Law)
AMV701F,Research methods in linguistics
ENS135G,Language Learning Strategies and Discourse
DAN422G,Iceland in Danish Literature – a Journey from Romanticism to the Present Day
ÞJÓ109F,Oral Tradition in Sagas and Eddas
POL203G,Practical Language III
LÆK116G,Anatomy Ph. IB
HAG210G,Econometrics
POL204G,Practical Language IV
OSS405F,Internship
OSS302F,Internship
MAN331G,Theories in Anthropology II
OSS401F,Internship
LSK005G,"Play, Theories and Development of Play"
LÆK302F,Pediatrics
LAN019G,Workshop for 1st year students
ÞRS501G,"Leadership, professionalism and holistic services"
TÓS001M,Introduction to place based outdoor education
GSL503G,Pediatric X-ray
HJÚ832G,Health promotion inteventions
HSP107G,Politics and Society
LÆK0ALF,"General research methods, course for M.Sc. and Ph.D. students - Part 2"
FÉL302F,Mastering the Master’s level -I: Launching your MA journey
MOM401G,Languages and Theatre
EÐL208G,Physics 2 E
HSP310G,Philosophy of Art
HSP416G,Metaphysics
LÆK206F,Otorhinolaryngology
SNU203F,Climate Change and Education
GSL614L,Research project
EÐL206G,Physics 2 R
ÞJÓ506M,Cultural Heritage
LEF262L,Research Project
LÆK207F,Diagnostic Imaging - Radiology
HSP724M,Critical Thinking
LÆK616G,Epidemiology
LÆK204F,"Surgery, theoretical"
NSR028F,Practical Training III: Guidance
EÐL407G,Introduction to Astrophysics
GSL207G,Medical imaging 2
OSS203F,The Tools of Government
HAG615G,History of Economic Thought
KEN403G,Vocational teaching – practicum part 2
LÖG107F,Domestic Tax Law -basic course
LEF406G,Biochemistry 2
LEI307G,Clinical biochemistry - methodology
UAU207M,Sustainable Futures
VIÐ303F,Auditing and Sustainability Standards
INT006F,Early Chinese philosophy of education 1: Confucianism
FRA217G,French as a language of diplomacy and international relations
SJÚ408G,"Pathology, Radiology and Pharmocology"
KVI423G,Vikings on Screen: 100 Years of (Mis)Representation
LÆK517G,Research Project
UAU108F,Corporate Environmental Management
LÆK508F,"Cancer epidemiology, diagnosis and clinical management"
SÆN211G,History of the Swedish Language in 13 Texts
STÆ101G,Mathematical Analysis IA
LÆK408G,Molecular Life Sciences B
FÉL018M,Applied regression project
LEF616M,Structure and Function of Proteins
KOR101G,Korean I
KOR102G,Conversational Korean I
MAT803F,Food Engineering 2
KLM217G,Cicero in his Time and Place
VIÐ305F,Auditing processes  II
GSL412G,Clinical Radiography 3
STÆ202G,Sets and Metric Spaces
FÉL241L,BA Thesis in Sociology
FÉL261L,BA Thesis in Sociology
STÆ301G,Complex Analysis I
VIÐ307F,Management of Innovation
FÉL264G,"Inequality: Social status, gender and minority groups"
KOR202G,Conversational Korean II
FÉL407G,Project in Sociology
FÉL409G,Project in Sociology
SJÚ511G,Visceral organs and dermatology
STÆ405G,Numerical Analysis
FÉL441G,Media research: Issues and disputes
MFR602M,"Research seminar C: Fear, like and subscribe: Internet Moral panics and reactionary backlash"
FÉL442L,MA Thesis in Methodology
FÉL561L,Ph.D. Thesis in Sociology
ÍÞH049G,Racquet Sports and Golf
LÆK093F,"Immunology, basic research topics"
LYF301G,Microbiology and Virology
EÐL102G,Physics 1 V
SAG036G,Introduction to the History of Iceland: From Settlement to Modern Times
EÐL306G,Introduction to Quantum Mechanics
LÆK512F,Emergency Medicine
SÁL103G,Introduction to Psychology
SÁL104G,Explaining behaviour
FÉL447G,Project in Sociology
FRG213G,Research methods in social work and health sciences
EÐL203G,Electronic device and measurement physics
ÍÞH115F,"Physical training, intensity and recovery"
EÐL205G,Spacetime Physics
FFR401L,MA Thesis in Disability Studies
FFR571L,Ph.D. Thesis in Disability Studies
SÁL308G,Statistics III
EÐL302G,Classical Mechanics
SÁL324G,Industrial and organizational psychology
EÐL404M,Atomic Physics and Optics
UME504G,Professionalism and Ethics
EÐL509M,Quantum Mechanics 1
MON501M,Food physics
EÐL206M,Solid State Physics 2
SÁL605G,Clinical Child Psychology
SÁL624G,Environmental Psychology
SÁL627G,Sport psychology
VIÐ105G,Microeconomics I
HÍT101G,Study skills in university work
MAN005F,Readings in a specific area
EFN202G,General Chemistry 2
GFR201G,Introduction to Theological Ethics
ÍET201M,Computer assisted language learning
EFN404G,Inorganic Chemistry 2
ÞRS601M,"Autonomy, wellbeing and neglect"
EFN610M,Inorganic Chemistry 4
MAN081G,Seminar - Current affairs
OSS101F,"Microeconomics, Market Failure and the Role of Government"
EFN509G,Physical Chemistry Laboratory C
STÆ537M,Numerical Methods for Partial Differential Equations
SÁL0AKG,Internship
SÁL102G,Statistics I
MAN201G,Research methods I
LYF309G,Bioavailability and drug development process
EFN209G,Chemistry Laboratory 3
MAN241L,BA thesis in Anthropology
EFN210G,Chemistry Laboratory 2
FÉL330G,Project in Sociology
SÁL115G,Methodology
MAN261L,BA Thesis in Anthropology
EFN109G,Chemistry Laboratory 1
MAN346G,Assignment in anthropology
EFN309G,Organic Chemistry I
BYG441L,Final project
EFN513M,Inorganic Chemistry 3
SÁL203G,Statistics II
SÁL208G,Work Methods in Psychological Studies
EFN514M,Inorganic Chemistry Laboratory 3
EFN410G,Physical Chemistry B
MAN442L,MA Thesis in Global Studies
AMV205G,History of Linguistics
EFN313G,Organic Chemistry Laboratory 1a
NÆR506M,Applied multivariable regression and data analysis
EFN216G,Chemistry Laboratory LEI
EFN215G,Organic Chemistry Laboratory L
EFN412G,Physical Chemistry Laboratory A
MAN561L,Ph.D. Thesis in Anthropology
MAN562L,Ph.D. Thesis in Global Studies
LÆK0ANF,"General research methods, course for M.Sc. and Ph.D. students - Part 4"
SPÆ405M,Latin American Literature: The 20th Century Novel
LVG008M,"Designhistory - fashion, textiles and furniture"
JAR265L,BS-Project in Geology
TÖL203G,Computer Science 2
TÓS301F,"Strong groups: Compassion, collaboration and building a team"
JAR419G,General Geochemistry
JEÐ231L,BS-Project in Geophysics
MAS103M,R for beginners
FAG201F,Education for sustainability – skills in a changing world
ASK220F,Introduction to Security Studies
LÝÐ097F,Topics in Epidemiology (Epidemiology III)
JAR202G,Earth Surface processes
